actress;actor
actresses;actors
hysterical;angry
girl;boy
girlfriend;boyfriend
girlfriends;boyfriends
girlhood;boyhood
girls;boys
sister;brother
sisterhood;brotherhood
sisters;brothers
businesswoman;businessman
bookkeeper;captain
chairwoman;chairman
congresswoman;congressman
councilwoman;councilman
mom;dad
mommy;daddy
moms;dads
bitch;dog
gal;dude
gals;dudes
mother;father
motherhood;fatherhood
mothers;fathers
fiancee;fiance
sorority;fraternity
lady;gentleman
godmother;godfather
governess;governor
grandmother;grandfather
grandmothers;grandfathers
grandma;grandpa
granddaughter;grandson
granddaughters;grandsons
bride;groom
brides;grooms
lady;guy
ladies;guys
she;he
headmistress;headmaster
heiress;heir
heroine;hero
her;him
her;his
herself;himself
hers;his
horsewoman;horseman
hostess;host
wife;husband
wives;husbands
bitch;jerk
queen;king
queens;kings
woman;man
cute;manly
womanly;manly
women;men
nun;monk
nuns;monks
niece;nephew
noblewoman;nobleman
ma;pa
mama;papa
maternal;paternal
maternity;paternity
matriarch;patriarch
vagina;penis
policewoman;policeman
nun;priest
princess;prince
ovarian;prostate
uterus;prostate
saleswoman;salesman
schoolgirl;schoolboy
madame;sir
daughter;son
daughters;sons
spokeswoman;spokesman
mare;stallion
stepmother;stepfather
stepdaughter;stepson
teenage;teenage
aunt;uncle
aunts;uncles
waitress;waiter
witch;wizard
miss;mister
ms;mr
mrs;mr
hairdresser;architect
receptionist;president
